GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48191,"Hall County, Texas",48459,7802,451,150,2775,7,0.16252252252252253,0.05405249935908825
48305,"Lynn County, Texas",73679,7427,867,249,5701,10,0.15207858270478863,0.04367573334520318
48107,"Crosby County, Texas",52188,7439,991,228,4935,39,0.20081053698074974,0.04617334460613506
48137,"Edwards County, Texas",40313,21695,398,304,1249,283,0.31865492393915135,0.23243917316051502
48027,"Bell County, Texas",68865,1892,54547,3503,376070,801,0.14504480548833992,0.009309630748838216
48021,"Bastrop County, Texas",86226,5870,10513,1756,103305,329,0.10176661342626205,0.016995119132398737
48441,"Taylor County, Texas",67139,3057,20529,1877,139904,186,0.14673633348581885,0.0134149242315202
48291,"Liberty County, Texas",68703,4468,18229,2711,97711,297,0.18656036679595953,0.027739289453480694
48197,"Hardeman County, Texas",63333,15015,366,111,3427,50,0.10679894951852932,0.03235234300405757
48483,"Wheeler County, Texas",60167,10942,732,195,4753,36,0.15400799495055753,0.04101013376585688
48017,"Bailey County, Texas",61420,15970,811,291,6745,344,0.12023721275018533,0.04270504279811963
48439,"Tarrant County, Texas",84207,832,237215,7971,2136011,1124,0.11105513969731429,0.0037312647508620533
48485,"Wichita County, Texas",63524,2811,19500,1940,118245,459,0.16491183559558545,0.016394120008973508
48307,"McCulloch County, Texas",54043,13471,1129,322,7363,54,0.15333423876137445,0.04371771343143199
48177,"Gonzales County, Texas",58672,4856,3091,575,19542,11,0.15817214205301403,0.029423670433957695
48221,"Hood County, Texas",88160,6107,4978,816,64987,81,0.07659993537168973,0.0125559944421704
48501,"Yoakum County, Texas",84925,12867,1258,689,7497,4,0.16780045351473924,0.09190338442953552
48227,"Howard County, Texas",69649,3878,4006,570,28984,456,0.13821418713773115,0.019545434294491185
48099,"Coryell County, Texas",71301,2442,7618,1066,68170,651,0.11175003667302333,0.015600919938975093
48451,"Tom Green County, Texas",68370,2936,12762,1646,114838,314,0.11113046204218116,0.014330013360484305
48149,"Fayette County, Texas",75854,3307,2120,416,24569,70,0.08628759819284464,0.016930121197322918
48447,"Throckmorton County, Texas",59216,5647,397,130,1639,148,0.2422208663819402,0.07624129325364563
48009,"Archer County, Texas",72159,8735,808,183,8808,14,0.09173478655767484,0.02077605510966245
48013,"Atascosa County, Texas",70770,4131,7970,1425,50338,178,0.15832969128690055,0.028303096740285888
48143,"Erath County, Texas",65115,4506,6687,727,40379,112,0.16560588424676193,0.017998547683076217
